
(31.10.2024 16:48 PM)
(3 amostras, de cada letra: W, S e L)
Erro inicial(ANTES DO TREINAMENTO): 7.429170899647493
MLP.js:366 Epoch 215, Erro total: 0.173569381209065
MLP.js:366 Epoch 216, Erro total: 0.17183829501864917
MLP.js:366 Epoch 217, Erro total: 0.17013206181601154
MLP.js:366 Epoch 218, Erro total: 0.1684502195927822
MLP.js:366 Epoch 219, Erro total: 0.16679231684379164
MLP.js:366 Epoch 220, Erro total: 0.16515791228575455
MLP.js:366 Epoch 221, Erro total: 0.16354657458457494
MLP.js:366 Epoch 222, Erro total: 0.16195788209097417
MLP.js:366 Epoch 223, Erro total: 0.16039142258416442
MLP.js:366 Epoch 224, Erro total: 0.15884679302328802
MLP.js:366 Epoch 225, Erro total: 0.15732359930636552
MLP.js:366 Epoch 226, Erro total: 0.15582145603649586
MLP.js:366 Epoch 227, Erro total: 0.15433998629506593
MLP.js:366 Epoch 228, Erro total: 0.15287882142173534
MLP.js:366 Epoch 229, Erro total: 0.1514376008009705
MLP.js:366 Epoch 230, Erro total: 0.1500159716549077
MLP.js:366 Epoch 231, Erro total: 0.14861358884233833
MLP.js:366 Epoch 232, Erro total: 0.14723011466361124
MLP.js:366 Epoch 233, Erro total: 0.1458652186712593
MLP.js:366 Epoch 234, Erro total: 0.14451857748616032
MLP.js:366 Epoch 235, Erro total: 0.14318987461905205
MLP.js:366 Epoch 236, Erro total: 0.14187880029722633
MLP.js:366 Epoch 237, Erro total: 0.14058505129623308
MLP.js:366 Epoch 238, Erro total: 0.1393083307764333
MLP.js:366 Epoch 239, Erro total: 0.13804834812424216
MLP.js:366 Epoch 240, Erro total: 0.13680481879791237
MLP.js:366 Epoch 241, Erro total: 0.13557746417771216
MLP.js:366 Epoch 242, Erro total: 0.1343660114203556
MLP.js:366 Epoch 243, Erro total: 0.13317019331755148
MLP.js:366 Epoch 244, Erro total: 0.13198974815853784
MLP.js:366 Epoch 245, Erro total: 0.13082441959647687
MLP.js:366 Epoch 246, Erro total: 0.12967395651858887
MLP.js:366 Epoch 247, Erro total: 0.12853811291990458
MLP.js:366 Epoch 248, Erro total: 0.12741664778052636
MLP.js:366 Epoch 249, Erro total: 0.12630932494628386
MLP.js:366 Epoch 250, Erro total: 0.12521591301268287
MLP.js:366 Epoch 251, Erro total: 0.1241361852120412
MLP.js:366 Epoch 252, Erro total: 0.12306991930371419
MLP.js:366 Epoch 253, Erro total: 0.12201689746731664
MLP.js:366 Epoch 254, Erro total: 0.12097690619884348
MLP.js:366 Epoch 255, Erro total: 0.11994973620960693
MLP.js:366 Epoch 256, Erro total: 0.11893518232789832
MLP.js:366 Epoch 257, Erro total: 0.11793304340329529
MLP.js:366 Epoch 258, Erro total: 0.11694312221353137
MLP.js:366 Epoch 259, Erro total: 0.1159652253738539
MLP.js:366 Epoch 260, Erro total: 0.11499916324878992
MLP.js:366 Epoch 261, Erro total: 0.11404474986625357
MLP.js:366 Epoch 262, Erro total: 0.11310180283392
MLP.js:366 Epoch 263, Erro total: 0.1121701432578011
MLP.js:366 Epoch 264, Erro total: 0.11124959566295624
MLP.js:366 Epoch 265, Erro total: 0.1103399879162747
MLP.js:366 Epoch 266, Erro total: 0.10944115115126941
MLP.js:366 Epoch 267, Erro total: 0.1085529196948214
MLP.js:366 Epoch 268, Erro total: 0.10767513099581957
MLP.js:366 Epoch 269, Erro total: 0.10680762555563716
MLP.js:366 Epoch 270, Erro total: 0.10595024686039643
MLP.js:366 Epoch 271, Erro total: 0.1051028413149633
MLP.js:366 Epoch 272, Erro total: 0.10426525817862742
